ec_call,erc_type,erc_type_name
ERC-2007-StG,STG,ERC Starting Grant
ERC-2008-AdG,ADG,ERC Advanced Grant
ERC-2008-Support,SUP,ERC Support
ERC-2009-AdG,ADG,ERC Advanced Grant
ERC-2009-SUPPORT,SUP,ERC Support
ERC-2009-StG,STG,ERC Starting Grant
ERC-2010-AdG_20100224,ADG,ERC Advanced Grant
ERC-2010-AdG_20100317,ADG,ERC Advanced Grant
ERC-2010-AdG_20100407,ADG,ERC Advanced Grant
ERC-2010-StG_20091028,STG,ERC Starting Grant
ERC-2010-StG_20091118,STG,ERC Starting Grant
ERC-2010-StG_20091209,STG,ERC Starting Grant
ERC-2011-ADG_20110209,ADG,ERC Advanced Grant
ERC-2011-ADG_20110310,ADG,ERC Advanced Grant
ERC-2011-ADG_20110406,ADG,ERC Advanced Grant
ERC-2011-PoC,POC,ERC Proof of Concept Grant
ERC-2011-StG_20101014,STG,ERC Starting Grant
ERC-2011-StG_20101109,STG,ERC Starting Grant
ERC-2011-StG_20101124,STG,ERC Starting Grant
ERC-2012-ADG_20120216,ADG,ERC Advanced Grant
ERC-2012-ADG_20120314,ADG,ERC Advanced Grant
ERC-2012-ADG_20120411,ADG,ERC Advanced Grant
ERC-2012-PoC,POC,ERC Proof of Concept Grant
ERC-2012-StG_20111012,STG,ERC Starting Grant
ERC-2012-StG_20111109,STG,ERC Starting Grant
ERC-2012-StG_20111124,STG,ERC Starting Grant
ERC-2012-Support-1,SUP,ERC Support
ERC-2012-SyG,SYG,ERC Synergy Grant
ERC-2013-ADG,ADG,ERC Advanced Grant
ERC-2013-CoG,COG,ERC Consolidator Grant
ERC-2013-PoC,POC,ERC Proof of Concept Grant
ERC-2013-StG,STG,ERC Starting Grant
ERC-2013-Support-1,SUP,ERC Support
ERC-2013-SyG,SYG,ERC Synergy Grant
ERC-2014-ADG,ADG,ERC Advanced Grant
ERC-2014-CoG,COG,ERC Consolidator Grant
ERC-2014-PoC,POC,ERC Proof of Concept Grant
ERC-2014-STG,STG,ERC Starting Grant
ERC-2014-SUPPORT-1,SUP,ERC Support
ERC-2015-AdG,ADG,ERC Advanced Grant
ERC-2015-CoG,COG,ERC Consolidator Grant
ERC-2015-PoC,POC,ERC Proof of Concept Grant
ERC-2015-STG,STG,ERC Starting Grant
ERC-2016-ADG,ADG,ERC Advanced Grant
ERC-2016-COG,COG,ERC Consolidator Grant
ERC-2016-PoC,POC,ERC Proof of Concept Grant
ERC-2016-STG,STG,ERC Starting Grant
ERC-2017-ADG,ADG,ERC Advanced Grant
ERC-2017-COG,COG,ERC Consolidator Grant
ERC-2017-PoC,POC,ERC Proof of Concept Grant
ERC-2017-STG,STG,ERC Starting Grant
ERC-2018-ADG,ADG,ERC Advanced Grant
ERC-2018-COG,COG,ERC Consolidator Grant
ERC-2018-PoC,POC,ERC Proof of Concept Grant
ERC-2018-STG,STG,ERC Starting Grant
ERC-2018-SyG,SYG,ERC Synergy Grant
ERC-2019-PoC,POC,ERC Proof of Concept Grant
