code,title
"",[none]
TN,Thematic Network
PB,Pilot Type B
PA,Pilot Type A
BPN,Best Practice Network
PPI,Public Procurement of Innovative solutions
MSCA-RISE,Marie Skłodowska-Curie Research and Innovation Staff Exchange (RISE)
H2020-EEN-SGA,Specific Grant Agreement Enterprise Europe Network (EEN)
FCH2-IA,Innovation action
FCH2-CSA,Coordination & support action
CSA-LS,CSA Lump sum
SGA-RIA,SGA-RIA
CS2-IA,Innovation action
CS2-RIA,Research and Innovation action
COFUND-PCP,COFUND (PCP)
SESAR-RIA,Research and Innovation action
COFUND-PPI,COFUND (PPI)
IA-LS,Innovation action Lump Sum
BBI-CSA,Bio-based Industries Coordination and Support action
ECSEL-CSA,ECSEL Coordination & Support action
NOE,[none]
Shift2Rail-RIA,Research and Innovation action
Shift2Rail-IA,Innovation action
SESAR-IA,Innovation action
PCP,Pre-Commercial Procurement
SESAR-CSA,Coordination and Support Action
Shift2Rail-CSA,Coordination and Support Action
IMI2-RIA,Research and Innovation action
MSCA-IF-EF-SE,Society and Enterprise panel
Shift2Rail-IA-LS,Innovation Action Lump-Sum
Shift2Rail-RIA-LS,Shift2Rail Research and Innovation Action Lump-Sum
MSCA-ITN-ETN,European Training Networks
MSCA-IF-EF-RI,RI – Reintegration panel
IMI2-CSA,Coordination & support action
RIA-LS,Research and Innovation action Lump Sum
MC-IA,Industry-Academia Partnerships and Pathways (IAPP)
CP-CSA-Infra-PP,Construction of New Research Infrastructures - Preparatory Phase
CAREER,Support for training and career development of researchers
CIP-ICT-PSP-TN,CIP-Thematic Network - ICT
MC-ITN,Networks for Initial Training (ITN)
CP-TP,Collaborative Project targeted to a special group (such as SMEs)
BSG-CSO,Research for Civil Society Organisations (CSOs)
RFCS,Research Fund for Coal and Steel
MC-IEF,Intra-European Fellowships (IEF)
CIP-ICT-PSP-TN(EC),CIP-Thematic Network Eligible Cost - ICT
MC-IO,International Outgoing Fellowships (IOF)
AM-SSA,Accompanying measures implemented as Specific Support Actions
DS,Research Infrastructure-Design studies
MSCA-COFUND-DP,Doctoral programmes
CP-IP-TP,Collaborative Project (large-scale integrating project targeted to SME)
ERA-NET-Cofund,ERA-NET Cofund
MC-IE,Intra-European Fellowships (IEF)
MSCA-IF-GF,Global Fellowships
Cooperative,SMEs-Co-operative research contracts
CP-CS,Integrating Activities / e-Infrastructures / Preparatory phase
169,Joint implementation of well identified national research programmes
