nuts_3,nuts_2,nuts_1
TR715,TR71,TR7
TRC11,TRC1,TRC
TR412,TR41,TR4
TR413,TR41,TR4
NO051,NO05,NO0
NO052,NO05,NO0
NO053,NO05,NO0
NO071,NO07,NO0
NO072,NO07,NO0
NO073,NO07,NO0
NO032,NO03,NO0
NO042,NO04,NO0
NO033,NO03,NO0
NO031,NO03,NO0
ME000,ME00,ME0
TR721,TR72,TR7
TR632,TR63,TR6
TR906,TR90,TR9
TRC33,TRC3,TRC
TR612,TR61,TR6
TRC13,TRC1,TRC
TR723,TR72,TR7
TRC21,TRC2,TRC
TR622,TR62,TR6
TR823,TR82,TR8
TRB22,TRB2,TRB
TRB24,TRB2,TRB
TR221,TR22,TR2
LI000,LI00,LI0
ITG2?,ITG2,ITG
TR712,TR71,TR7
TR334,TR33,TR3
TRA13,TRA1,TRA
TRA24,TRA2,TRA
TR903,TR90,TR9
DE94A,DE94,DE9
DEA16,DEA1,DEA
DEB23,DEB2,DEB
DEB24,DEB2,DEB
DEC01,DEC0,DEC
DEE08,DEE0,DEE
DEE0C,DEE0,DEE
DEZZZ,DEZZ,DEZ
ITC20,ITC2,ITC
ITF11,ITF1,ITF
CY000,CY00,CY0
LU000,LU00,LU0
MTZZZ,MTZZ,MTZ
FIZZZ,FIZZ,FIZ
BG413,BG41,BG4
BG414,BG41,BG4
BG415,BG41,BG4
BG421,BG42,BG4
BG422,BG42,BG4
BG423,BG42,BG4
BG425,BG42,BG4
BGZZZ,BGZZ,BGZ
CZ063,CZ06,CZ0
DE21E,DE21,DE2
BG341,BG34,BG3
BG342,BG34,BG3
BG343,BG34,BG3
BG344,BG34,BG3
BG411,BG41,BG4
BG412,BG41,BG4
AT331,AT33,AT3
AT332,AT33,AT3
AT333,AT33,AT3
AT334,AT33,AT3
AT335,AT33,AT3
AT341,AT34,AT3
AT342,AT34,AT3
BE100,BE10,BE1
BE211,BE21,BE2
BE212,BE21,BE2
BE213,BE21,BE2
BE221,BE22,BE2
BE222,BE22,BE2
TRC31,TRC3,TRC
TR613,TR61,TR6
TRC12,TRC1,TRC
TR811,TR81,TR8
TR822,TR82,TR8
TR213,TR21,TR2
TR333,TR33,TR3
TRA22,TRA2,TRA
TRA23,TRA2,TRA
TR423,TR42,TR4
TRB12,TRB1,TRB
TR711,TR71,TR7
TR522,TR52,TR5
TR222,TR22,TR2
TRB14,TRB1,TRB
BE223,BE22,BE2
BE231,BE23,BE2
BE232,BE23,BE2
BE233,BE23,BE2
BE234,BE23,BE2
BE235,BE23,BE2
BE236,BE23,BE2
BE241,BE24,BE2
BE242,BE24,BE2
BE251,BE25,BE2
BE252,BE25,BE2
BE253,BE25,BE2
BE254,BE25,BE2
BE255,BE25,BE2
BE256,BE25,BE2
BE257,BE25,BE2
BE258,BE25,BE2
BE310,BE31,BE3
BE321,BE32,BE3
BE322,BE32,BE3
BE323,BE32,BE3
BE324,BE32,BE3
BE325,BE32,BE3
BE326,BE32,BE3
BE327,BE32,BE3
BE331,BE33,BE3
BE332,BE33,BE3
BE334,BE33,BE3
BE335,BE33,BE3
BE336,BE33,BE3
BE341,BE34,BE3
BE342,BE34,BE3
BE343,BE34,BE3
BE344,BE34,BE3
BE345,BE34,BE3
BE351,BE35,BE3
BE352,BE35,BE3
BE353,BE35,BE3
CZ010,CZ01,CZ0
CZ020,CZ02,CZ0
CZ031,CZ03,CZ0
CZ032,CZ03,CZ0
CZ041,CZ04,CZ0
CZ042,CZ04,CZ0
CZ051,CZ05,CZ0
CZ052,CZ05,CZ0
CZ053,CZ05,CZ0
CZ064,CZ06,CZ0
CZ071,CZ07,CZ0
CZ072,CZ07,CZ0
CZ080,CZ08,CZ0
DE111,DE11,DE1
DE112,DE11,DE1
DE113,DE11,DE1
DE114,DE11,DE1
DE115,DE11,DE1
DE116,DE11,DE1
DE117,DE11,DE1
DE118,DE11,DE1
DE119,DE11,DE1
DE11A,DE11,DE1
DE11B,DE11,DE1
DE11C,DE11,DE1
DE11D,DE11,DE1
DE121,DE12,DE1
DE137,DE13,DE1
DE138,DE13,DE1
DE139,DE13,DE1
DE13A,DE13,DE1
DE141,DE14,DE1
DE142,DE14,DE1
DE143,DE14,DE1
DE144,DE14,DE1
DE145,DE14,DE1
DE146,DE14,DE1
DE147,DE14,DE1
DE148,DE14,DE1
DE149,DE14,DE1
DE211,DE21,DE2
DE212,DE21,DE2
DE213,DE21,DE2
DE214,DE21,DE2
DE215,DE21,DE2
DE216,DE21,DE2
DE217,DE21,DE2
DE218,DE21,DE2
DE219,DE21,DE2
DE21A,DE21,DE2
DE21B,DE21,DE2
DE21C,DE21,DE2
DE21D,DE21,DE2
DE21F,DE21,DE2
DE21G,DE21,DE2
DE21H,DE21,DE2
DE21I,DE21,DE2
DE21J,DE21,DE2
DE21K,DE21,DE2
DE21L,DE21,DE2
DE21M,DE21,DE2
DE21N,DE21,DE2
DE221,DE22,DE2
DE222,DE22,DE2
DE223,DE22,DE2
DE224,DE22,DE2
DE225,DE22,DE2
DE226,DE22,DE2
DE227,DE22,DE2
DE228,DE22,DE2
DE229,DE22,DE2
DE22A,DE22,DE2
DE22B,DE22,DE2
DE22C,DE22,DE2
DE231,DE23,DE2
DE232,DE23,DE2
DE233,DE23,DE2
DE234,DE23,DE2
DE235,DE23,DE2
DE236,DE23,DE2
DE237,DE23,DE2
DE238,DE23,DE2
DE239,DE23,DE2
DE241,DE24,DE2
DE242,DE24,DE2
DE243,DE24,DE2
DE244,DE24,DE2
DE245,DE24,DE2
DE246,DE24,DE2
DE247,DE24,DE2
DE248,DE24,DE2
DE249,DE24,DE2
DE24A,DE24,DE2
DE24B,DE24,DE2
DE24C,DE24,DE2
DE24D,DE24,DE2
DE251,DE25,DE2
DE252,DE25,DE2
DE253,DE25,DE2
DE254,DE25,DE2
DE255,DE25,DE2
DE256,DE25,DE2
DE257,DE25,DE2
DE258,DE25,DE2
DE259,DE25,DE2
DE25A,DE25,DE2
DE25B,DE25,DE2
DE25C,DE25,DE2
DE261,DE26,DE2
DE262,DE26,DE2
DE263,DE26,DE2
DE264,DE26,DE2
DE265,DE26,DE2
DE266,DE26,DE2
DE267,DE26,DE2
DE268,DE26,DE2
DE269,DE26,DE2
DE26A,DE26,DE2
DE26B,DE26,DE2
DE26C,DE26,DE2
DE271,DE27,DE2
DE272,DE27,DE2
DE273,DE27,DE2
DE274,DE27,DE2
DE275,DE27,DE2
DE276,DE27,DE2
DE277,DE27,DE2
DE278,DE27,DE2
DE279,DE27,DE2
DE27A,DE27,DE2
DE27B,DE27,DE2
DE27C,DE27,DE2
DE27D,DE27,DE2
DE27E,DE27,DE2
DE300,DE30,DE3
DE501,DE50,DE5
DE502,DE50,DE5
DE600,DE60,DE6
DE711,DE71,DE7
DE712,DE71,DE7
DE713,DE71,DE7
DE714,DE71,DE7
DE715,DE71,DE7
DE716,DE71,DE7
DE717,DE71,DE7
DE718,DE71,DE7
DE719,DE71,DE7
DE71A,DE71,DE7
DE71B,DE71,DE7
DE71C,DE71,DE7
DE71D,DE71,DE7
DE71E,DE71,DE7
DE721,DE72,DE7
DE722,DE72,DE7
DE723,DE72,DE7
DE724,DE72,DE7
DE725,DE72,DE7
DE731,DE73,DE7
DE732,DE73,DE7
DE733,DE73,DE7
DE734,DE73,DE7
DE735,DE73,DE7
DE736,DE73,DE7
DE737,DE73,DE7
DE803,DE80,DE8
DE804,DE80,DE8
DE911,DE91,DE9
DE912,DE91,DE9
DE913,DE91,DE9
DE914,DE91,DE9
DE916,DE91,DE9
DE917,DE91,DE9
DE918,DE91,DE9
DE91A,DE91,DE9
DE91B,DE91,DE9
DE922,DE92,DE9
DE923,DE92,DE9
DE925,DE92,DE9
DE926,DE92,DE9
DE93B,DE93,DE9
DE941,DE94,DE9
DE942,DE94,DE9
DE943,DE94,DE9
DE944,DE94,DE9
DE945,DE94,DE9
DE946,DE94,DE9
DE947,DE94,DE9
DE948,DE94,DE9
DE949,DE94,DE9
DE94B,DE94,DE9
DE94C,DE94,DE9
DE94D,DE94,DE9
DE94E,DE94,DE9
DE94F,DE94,DE9
DE94G,DE94,DE9
DE94H,DE94,DE9
DEA11,DEA1,DEA
DEA12,DEA1,DEA
DEA13,DEA1,DEA
DEA14,DEA1,DEA
DEA15,DEA1,DEA
DEB3K,DEB3,DEB
DEA17,DEA1,DEA
DEA18,DEA1,DEA
DEA19,DEA1,DEA
DEA1A,DEA1,DEA
DEA1B,DEA1,DEA
DEA1C,DEA1,DEA
DEA1D,DEA1,DEA
DEA1E,DEA1,DEA
DEA1F,DEA1,DEA
DEA22,DEA2,DEA
DEA23,DEA2,DEA
DEA24,DEA2,DEA
DEA26,DEA2,DEA
DEA27,DEA2,DEA
DEA28,DEA2,DEA
DEA29,DEA2,DEA
DEA2A,DEA2,DEA
DEA2B,DEA2,DEA
DEA2C,DEA2,DEA
DEA31,DEA3,DEA
DEA32,DEA3,DEA
DEA33,DEA3,DEA
DEA34,DEA3,DEA
DEA35,DEA3,DEA
DEA36,DEA3,DEA
DEA37,DEA3,DEA
DEA38,DEA3,DEA
DEA41,DEA4,DEA
DEA42,DEA4,DEA
DEA43,DEA4,DEA
DEA44,DEA4,DEA
DEA45,DEA4,DEA
DEA46,DEA4,DEA
DEA47,DEA4,DEA
