unics_id,full_name
1212425,Nicolas James Laurent Fernando De Warren
1210316,Bas Van Steensel
1210222,David Anthony Keays
1212115,Olivier Robert Georges Voinnet
1212155,Peter H. SEEBERGER
1217071,Alasdair Whittle
1215531,Mattias Marklund
1209633,Leif Andersson
1217157,Mandayam SRINIVASAN
1213831,Jan Ramon
1215225,Tuomas Pertti Jonathan Knowles
1213597,Zoltan Takats
1213490,James Noble Arnold
1213369,Clare Philomena Grey
1211222,Sonia Isabelle Seneviratne
1217506,Stefan Roth
1213270,Maria Isabel Fierro Bello
1215912,Debra Fern Laefer
1217458,Marta Zofia Kwiatkowska
1216424,Jean-Antoine Charles Maurice Girault
1214276,François Eric Leulier
1213893,Dvir Yelin
1216282,Nicola Pavoni
1214495,Erin Margaret Schuman
1211146,Lieven Eeckhout
1210456,Tali Kaufman Halman
1215735,Thomas Bell
1211725,Christoforos Pissarides
1211064,Simon Kirwan Donaldson
1214420,Molly Morag Stevens
1210831,William Percival
1217492,Kenneth Hugdahl
1213846,Pascal Fua
1210180,Matthew Keith Morris Browning
1215098,Allard Pieter Mosk
1213661,Damien Faivre
1210234,Ryan Gilmour
1210225,Botond Roska
1211152,David Spring
1211353,"Jean-Pierre, Michel Valet"
1213974,Stefan Ludwig Ameres
1213524,Peter Klaus Georg Rajewsky
1213249,Anne Visser
1217096,Martin Lohse
1212736,Cristina Becchio
1209329,Michal Feldman
1217578,Shmuel (Mooly) Sagiv
1211458,Wulf Eckhard Haubensak
1211165,Vladimir Kolmogorov
1211314,Zsoltné Csalog
1212435,Michela Procesi
1215817,Katja Sträßer
1217616,Nathan Weisz
1213458,Anders Søgaard
1216777,Mary Francesca Bosworth
1213131,Jérôme Waser
1215918,Jose Henrique Veiga Fernandes
1214425,Martin Derwyn Smith
1216757,Arivananthan Sadanandom
1209372,Wolfgang Nejdl
1210238,Peer Fischer
1209349,Peter Lodahl
1217162,Edmund Harold Linfield
1214334,Valery Zwiller
1217307,Miguel Gonzalez Herraez
1213327,Alexander Fidora Riera
1211812,Christoph Klein
1213897,Michail Vlachos
1216564,Andrés Rodríguez-Pose
1209462,Georgios Coukos
1213683,Aurelien Raymond Roux
1213704,Berk Hess
1212642,Mohamed-Ali Hakimi
1210752,Anne Claire Haour
1210722,Robert Julian Ivison
1211554,"Sophie,ella,anne Polo"
1216050,Asaph Aharoni
1213787,Julia Mary Yeomans
1215064,Juan Rojo Chacon
1211929,Gustavo Catalan Bernabe
1214101,Michel Labouesse
1209921,Emmanuel Dupoux
1213088,Jennifer Mary Welsh
1210128,Lior Gepstein
1211536,Timothy David Spector
1215335,Giorgio Vallortigara
1213354,Thomas Wolfram Burgard
1216539,Benjamin Prud'homme
1217277,Melvyn Slater
1216159,Feng Hao
1216107,Tilmann Joachim Gneiting
1211032,Stephanie Newell
1212468,Philippe Jehiel
1214766,Rami Kristian Korhonen
1211902,Jerome Faure
1211551,Manel Esteller Badosa
1209192,Theodore Shepherd
1213953,Rosario Rizzuto
1216670,Christine Lindsay Mummery
1213809,Teunis Martien Klapwijk
1212538,Giulia Zanderighi
1212733,Leo James
1215984,Vincent Nicolas Julien Danos
1217340,Robert Imrie
1213579,Alfio Quarteroni
1210869,Ludovic Berthier
1216913,Peter Stoica
1209240,Sebastien André Marcel Bize
1215459,Matthieu Piel
1211768,Jesper Thagaard Wengel
1217238,Yann Algan
1209208,Peter Burkhard Becker
1215087,Amos Bertolacci
1211564,Donald Angus Mackenzie
1211740,Theodorus Henricus Maria Rasing
1212041,Michael Hochman
1216451,Jean-Augustin Landier
1211371,Maristella Botticini
1217608,Dietrich Schwarzkopf
1209311,Jens Henrik Mikael Fransson
1215074,Sebastian Uchitel
1217032,Claudio Masciovecchio
1214146,Helena Van Swygenhoven
1210155,Urs Jenal
1209765,Francois Balloux
1217110,Joachim Johannes Richard Cuntz
1209309,Graham John Hutchings
1211118,Sally Shuttleworth
1210141,Eduardo Moreno Lampaya
1209783,Kinneret Magda Keren
1209916,Holger Christoph Braunschweig
1215906,Rita Horvath
1211674,Bart Lambrecht
1210411,Thibault Matthias Daniel Cantat
1216838,Kheya Sengupta
1212798,David Sumpter
1213298,Winfried Römer
1215008,Herman Waldmann
1211049,Boaz Binyamin Klartag
1212771,Jean-François Bach
1217019,Joachim Lingner
1212922,Detlef Weigel
1213295,Aribert Johann Heinrich Reimann
1217483,Johan Verbeeck
1213050,Gregor Eugen Morfill
1213198,Kerstin Lindblad-Toh
1216794,Jan Westerhoff
1215616,Lars Bertil Thomas Nyström
1217219,Giorgio Coricelli
1209090,Ruth Elizabeth Cameron
