project,subject_area
150017,ICT
154286,NET
154286,TEL
154286,IPS
154286,ICT
154286,ELM
154286,ECO
150602,SCI
152371,EMP
152371,SCI
152837,COO
152837,SCI
152954,SCI
152954,ECO
153828,TEL
153828,IPS
153828,ELM
153855,TEL
153855,INF
153855,IPS
154273,EST
154341,TEL
154341,MED
154341,IPS
154341,ELM
163771,COO
163771,SOC
155119,EDU
155119,SCI
155367,SCI
156289,SCI
155374,COO
155374,SCI
157950,LIF
146343,SCI
143773,SCI
162410,ITT
162410,EDU
162410,SCI
158390,LIF
157162,SAF
157355,LIF
163063,ITT
163063,EDU
163063,SCI
158975,ITT
158975,EDU
158975,SCI
158889,SCI
158889,ECO
159393,LIF
160862,EDU
160862,SCI
161251,SCI
161274,COO
161274,SCI
163177,EDU
163177,SCI
163267,SCI
163543,LIF
168788,ESV
144293,SCI
144544,ENV
144905,TRA
144905,ITT
145362,COO
145362,SCI
147624,ENV
148390,COO
148390,SOC
149455,LIF
149610,INF
149610,SCI
149610,IPS
151292,SCI
152799,EDU
152799,SOC
152799,EMP
144568,MBI
144568,MED
147653,SCI
154480,TEL
154480,IPS
154480,ELM
160282,SCI
160282,ECO
160362,SCI
156427,EMP
156427,SCI
163235,LIF
156661,ITT
156661,EDU
156661,SCI
162133,ITT
162133,EDU
162133,SCI
167890,REG
162335,SCI
168312,SOC
168312,ESV
168312,TRA
162925,LIF
163344,ITT
163344,EDU
163344,SCI
150146,SCI
158774,SCI
152858,COO
152858,SCI
159661,IND
159661,AER
159661,TRA
159774,SCI
160334,SCI
147814,SCI
147814,LIF
161038,ITT
161038,EDU
161038,SCI
161185,LIF
162070,EMP
162070,SCI
161630,SCI
162005,EMP
162005,SCI
162016,SCI
162066,EMP
162066,SCI
162369,SCI
163784,EMP
163784,SCI
163951,SCI
164437,SCI
149267,POL
149267,MBI
149267,MED
144717,ITT
144717,HFC
164461,LIF
147044,FIS
147260,SCI
147312,SCI
147506,SCI
148696,SAF
152531,OET
150889,LIF
153329,SCI
152690,POL
152690,AGR
152690,VAS
153026,SCI
153327,SCI
155547,SCI
154669,COO
154669,TEL
154669,IPS
154669,ELM
156374,EMP
156374,SCI
168704,SCI
168704,ECO
169206,EDU
169206,SCI
160558,EMP
160558,SCI
161430,ITT
161430,EDU
161430,SCI
161855,LIF
163138,SCI
163843,EDU
163843,SCI
163947,IND
164070,SCI
143790,INF
143790,REG
143790,ECO
144924,MBI
145346,SCI
145546,WAS
155877,MBI
155877,MED
164081,SCI
147367,MBI
147367,MED
156089,SCI
166200,EDU
166200,SCI
149923,TEL
149923,SOC
149923,IPS
149923,ELM
150148,ENV
