code,title,description
FIS,Nuclear Fission,Reactor operation; decommissioning; reactor physics; pressure vessels; safeguarding techniques; fuel fabrication and reprocessing; irradiation facilities; uranium; plutonium and thorium ores; Transuranic elements/actinides; fissile materials (excluding radioactive waste management).
EAR,Earth Sciences,Geology; mineralogy; geography; geophysics; geo-chemistry; soil science; cartography.
ENV,Environmental Protection,Measurement and detection of pollution; effects of pollutants; aerosals and particulate emissions; water quality; acid rain; soil pollution; ecology and radio-ecology; limitation/prevention actions on pollution.
AER,Aerospace Technology,Aeronauticaltechnology; aircraft; avionics; space exploration and technology.
FOR,Forecasting,Identification of future developments in RTD and long-term strategic options; input to RTD policies; forecasting methodologies.
MAT,Materials Technology,"Plastics, rubber, polymers and composite materials; adhesives; ceramics; coatings; metals and alloys; iron and steel, steelworks, properties and utilization of steels; miscellaneous materials; properties of materials, corrosion and degradation."
RWA,Radioactive Waste,Management and storage of radioactive waste; radioactive waste treatment; disposal in deep land or sub-seabed formations; remote handling; container materials and matrices.
FOO,Food,Nutritional and toxicological properties of foodstuffs; processed agricultural and aquacultural produce; food additives; food containers and handling; food technology.
MST,Mathematics and Statistics,Mathematical theory; statistical analysis; operational research; numerical analysis; mathematical modelling. (See also application area)
IND,Industrial Manufacture,Industrial processes; process control; plant design and maintenance; machine tools; advanced design and manufacturing techniques; use of automated tools.
RSE,Renewable Sources of Energy,Tidal wave and wind energy; hydro-electric power; geothermal energy; energy from biomass; solar energy; photovoltaics; unconventional and alternative energies.
EDU,Education and Training,"Education of children and adults; university, polytechnic and college students; teaching methods; training needs; in-service training; vocational training; retraining; distance learning."
WAS,Waste Management,"Non-nuclear waste (for other types see ""Radioactive Waste""); recycling, recovery and reclamation; incineration and pyrolysis; land and sea disposal; bioconversion; landfill; industrial waste; energy from waste."
SAF,Safety,Safety engineering; safety at work; assessment of risk; reliability of components and systems; industrial hazards;; natural hazards; transportation of hazardous materials; accident analysis and reporting.
COO,Coordination and Cooperation,"Promotion of joint actions, the exchange of information, mobility, sharing of research resources, comparison exercises."
RAD,Radiation Protection,"Radiation shielding; dosimetry; radiation and radioisotope effects on man, animals, plants and micro-organisms."
CON,Construction Technology,"Civil engineering; construction equipment; materials, components and methods; structural reliability; fire resistance; sound insulation; architectural design; building regulations; use of steel, wood, cork, concrete etc. for building purposes."
STA,Standards,"Technical standards; quality standards; national and international standards; harmonization of standards. (See also ""Reference Materials"")"
POL,Policies,"Formulation, evaluation or application of policies, policy strategies or plans of action for research and development in science and technology."
